CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,57,2,66,18.46,787.25,24.75,"1,050",770.05,782.35,300,"24,050.00","1,425",23.05,23.15,"2,025",7,23,17.9,"1,03,031","2,324","6,851"
,672,18,289,17.25,730.65,-48.85,225,731.6,734.3,75,"24,100.00","1,425",27.1,27.2,"1,575",8.6,27.2,17.76,"1,79,507","12,095","21,019"
,121,8,62,17.48,686,-40.3,75,681.7,690.25,300,"24,150.00",525,31.75,31.8,225,9.9,31.8,17.62,"96,755","3,381","6,873"
,"1,094",90,"1,298",17.74,640.4,-37.15,75,642.05,644.45,75,"24,200.00",225,36.95,37,"5,175",10.85,37,17.45,"2,88,025","28,311","49,903"
,189,24,199,17.63,603.5,-29.95,75,595.15,607.25,525,"24,250.00","1,200",43.55,43.7,"2,325",13.1,43.65,17.38,"1,26,224","4,918","9,985"
,"1,177",-43,"2,379",17.76,560,-32.25,300,556.75,558.9,75,"24,300.00","1,500",51.45,51.65,"1,650",15.35,51.55,17.31,"2,66,621","11,074","33,956"
,356,22,670,17.4,517.95,-34.35,75,515.45,517.5,225,"24,350.00",975,59.9,60.1,"1,500",17.65,60.05,17.26,"1,65,384","7,227","13,770"
,"2,484",150,"4,377",17.47,479.75,-24.05,150,476.05,477.5,75,"24,400.00","2,400",70,70.2,825,20.3,70.15,17.12,"3,22,139","2,986","33,463"
,576,232,"1,835",17.15,441.75,-17.45,150,437.5,439,75,"24,450.00",900,81.7,81.9,975,22.25,81.9,17.1,"1,60,445","6,430","15,471"
,"9,488","2,025","30,558",17.48,402,-22,75,400.05,401.35,150,"24,500.00",300,95.15,95.35,825,24.45,95.2,17.08,"4,66,087","15,969","53,692"
,"1,502",767,"7,481",17.39,367.95,-19,75,365.9,367.2,225,"24,550.00",975,109.5,109.75,525,27.8,109.6,17.05,"2,32,710","5,320","14,571"
,"9,078","3,033","48,923",17.35,333,-18,225,332.55,333.25,150,"24,600.00","1,650",126,126.3,"1,050",28.7,125.9,17.04,"3,93,576","22,958","44,776"
,"3,874","2,504","26,425",17.35,301.65,-12.95,75,300.55,301.2,600,"24,650.00",450,145.35,145.6,225,30.8,144.8,17.05,"2,27,087","7,143","12,603"
,"32,611","17,712","1,94,506",17.33,273.1,-12.3,675,272.6,273.25,225,"24,700.00",600,164.6,165,"1,950",32,164.65,17.05,"5,42,404","22,303","48,632"
,"29,979","19,772","2,22,527",17.41,244.25,-11.2,"1,200",244.2,244.7,300,"24,750.00",675,187.1,187.45,"1,350",32.55,187.45,17.04,"4,79,580","16,384","29,427"
,"1,14,865","60,692","7,84,151",17.27,217.9,-11.55,375,217.55,217.65,150,"24,800.00",300,211.95,212.15,750,35.5,211.95,17.09,"10,12,037","28,214","74,735"
,"48,145","31,150","4,80,687",17.3,194,-13.4,75,193.7,194.05,600,"24,850.00",450,238.15,238.65,150,39.1,238,17.08,"3,77,638","9,953","23,317"
,"74,147","42,277","5,35,673",17.31,172.65,-11.2,225,172.3,172.6,300,"24,900.00",150,265,265.55,600,39,265,17.07,"2,77,265","9,528","27,426"
,"22,697","15,548","2,23,362",17.37,152.55,-10.2,300,152.15,152.45,450,"24,950.00",75,295,295.55,225,38.6,295.5,17.08,"57,092","2,109","4,015"
,"1,21,695","47,599","6,28,824",17.41,133.85,-9.55,300,133.6,133.75,75,"25,000.00",300,327.6,328.2,"1,800",38.35,326.4,17.05,"1,22,946","2,730","30,249"
,"17,544","10,989","1,68,713",17.35,117,-8.8,225,117.1,117.35,225,"25,050.00",150,360.35,361.4,75,39.4,360,17.19,"9,377",469,"1,269"
,"53,540","29,087","3,28,846",17.37,101.55,-8.9,150,101.4,101.6,825,"25,100.00",75,393.75,394.75,75,37.45,392.1,16.97,"18,037","1,000","4,959"
,"18,101","10,980","1,65,767",17.33,87.25,-9.1,300,87.4,87.6,"1,125","25,150.00",75,429.1,430.6,300,44.9,431,17.3,"3,209",241,446
,"66,210","28,478","3,42,791",17.29,74.5,-8.1,750,74.5,74.65,"1,725","25,200.00",150,466.5,468.15,75,37.7,464,16.87,"13,997",831,"4,320"
,"17,664","10,302","1,41,233",17.26,63.85,-8.1,975,63.7,63.9,"2,025","25,250.00",225,505.1,507.15,75,34.05,503.95,16.84,937,42,307
,"53,379","19,764","3,05,356",17.26,54.15,-7.3,900,54,54.15,600,"25,300.00",150,545.4,547.5,75,43.4,549.4,16.87,"3,407",395,"1,570"
,"17,468","10,682","1,36,098",17.26,45.75,-7.7,375,45.75,45.9,"1,575","25,350.00",75,584.85,588.55,75,35.15,591.3,16.64,280,6,321
,"39,887","12,373","2,03,147",17.22,38.45,-6.95,"1,425",38.45,38.6,"2,325","25,400.00",75,629.25,631.7,225,38.8,627.1,17.69,"1,086",27,"1,068"
,"14,014","8,279","1,12,564",17.25,32.4,-6.55,975,32.3,32.4,"1,350","25,450.00",75,670.9,678.9,75,24.2,675,18.19,63,4,98
,"88,252","34,317","3,88,647",17.3,27.25,-6.4,"3,900",27.25,27.35,525,"25,500.00",75,717.9,721.4,225,45,718.15,17.28,"3,861",80,"3,574"
,"15,119","8,693","1,12,078",17.29,22.6,-5.9,"1,725",22.5,22.6,"1,275","25,550.00",75,759.25,769.05,300,47.15,775,17.08,76,-5,75
,"48,110","30,843","2,06,139",17.29,18.75,-5.5,"3,600",18.65,18.7,"1,275","25,600.00",150,804.7,815.75,75,38.3,811,15.7,214,19,497
,"11,913","6,435","83,134",17.35,15.65,-4.9,900,15.6,15.65,"2,100","25,650.00",75,851.4,863.95,75,100.7,891.5,21.77,49,10,93
,"46,159","13,305","1,79,812",17.38,12.8,-4.5,"5,775",12.7,12.8,"4,050","25,700.00",75,899.9,907.95,300,34.05,897.1,18.09,101,8,246
,"15,417","9,279","96,215",17.45,10.65,-4.1,"7,125",10.6,10.7,"4,575","25,750.00",75,945.35,954.4,300,24.5,988.6,23.05,35,-,22
,"51,293","17,078","2,10,490",17.59,8.8,-3.7,"10,425",8.8,8.9,"8,250","25,800.00",75,996.3,"1,003.75",75,40.8,992.8,23.4,438,7,524
,"13,622","7,529","61,225",17.73,7.5,-3.15,"5,175",7.5,7.55,"3,600","25,850.00",750,"1,031.25","1,069.25","1,050",-,-,-,-,-,14
,"34,914","9,027","1,17,973",17.81,6.3,-2.75,"1,725",6.25,6.3,"11,700","25,900.00",75,"1,092.30","1,103.55",300,84.2,"1,133.85",24.72,49,3,89
,"8,448","5,230","53,765",17.95,5.3,-2.4,"8,925",5.2,5.3,"13,575","25,950.00",75,"1,140.35","1,164.20",750,-27.15,"1,135.50",-,1,-,21
,"1,41,342","38,521","3,07,239",18.26,4.6,-2.15,"47,625",4.6,4.65,"7,875","26,000.00",75,"1,192.40","1,202.00",75,48.3,"1,199.00",19.16,340,54,"1,427"
,"10,065","4,890","48,513",18.33,3.85,-1.95,"3,750",3.8,3.85,"16,875","26,050.00",750,"1,224.25","1,273.05",750,-,-,-,-,-,19
,"38,295","8,001","1,03,428",18.52,3.35,-1.35,"28,725",3.35,3.4,"18,375","26,100.00",75,"1,287.00","1,308.45",75,21.1,"1,330.15",27.18,33,3,14
